Zip,City,State
94164,San Francisco,CA
95383,Twain Harte,CA
95665,Pine Grove,CA
79917,El Paso,TX
90301,Inglewood,CA
60974,Woodland,IL
62001,Alhambra,IL
92543,Hemet,CA
92837,Fullerton,CA
14617,Rochester,NY
15238,Pittsburgh,PA
21767,Maugansville,MD
02886,Warwick,RI
03648,Enfield,NH
04981,Stockton Springs,ME
05061,Randolph Center,VT
05648,Calais,VT
19488,Norristown,PA
19524,Robeson,PA
00982,Carolina,PR
37407,Chattanooga,TN
38704,Greenville,MS
38912,Avalon,MS
30415,Brooklet,GA
31525,Brunswick,GA
32798,Zellwood,FL
43719,Bethesda,OH
43748,Junction City,OH
47649,Francisco,IN
35576,Millport,AL
36535,Foley,AL
37367,Pikeville,TN
27107,Winston Salem,NC
24324,Draper,VA
41132,Denton,KY
43506,Bryan,OH
28584,Swansboro,NC
29325,Clinton,SC
95965,Oroville,CA
97844,Irrigon,OR
83429,Island Park,ID
78148,Universal City,TX
78588,San Isidro,TX
65777,Moody,MO
67050,Garden Plain,KS
67645,Lenora,KS
56522,Campbell,MN
58405,Jamestown,ND
60025,Glenview,IL
50278,Zearing,IA
50569,Otho,IA
52156,Luana,IA
51530,Earling,IA
51656,Yorktown,IA
53009,Byron,WI
55381,Silver Lake,MN
30263,Newnan,GA
30384,Atlanta,GA
30728,La Fayette,GA
31714,Ashburn,GA
33315,Fort Lauderdale,FL
33994,Fort Myers,FL
34209,Bradenton,FL
47261,Millhousen,IN
37050,Cumberland City,TN
15665,Manor,PA
17265,Upperstrasburg,PA
17585,Witmer,PA
19511,Bowers,PA
08406,Ventnor City,NJ
29520,Cheraw,SC
29615,Greenville,SC
11716,Bohemia,NY
12719,Barryville,NY
23435,Suffolk,VA
24550,Evington,VA
25918,Shady Spring,WV
27028,Mocksville,NC
27049,Toast,NC
95655,Mather,CA
91189,Pasadena,CA
93099,Simi Valley,CA
98604,Battle Ground,WA
87413,Bloomfield,NM
02382,Whitman,MA
02719,Fairhaven,MA
62676,Hillyard,IL
79370,Spur,TX
71226,Chatham,LA
72542,Hardy,AR
72686,Witts Springs,AR
72927,Booneville,AR
83355,Wendell,ID
83641,Melba,ID
84307,Corinne,UT
60139,Glendale Heights,IL
60438,Lansing,IL
68636,Elgin,NE
66532,Robinson,KS
55723,Cook,MN
39478,Sandy Hook,MS
49041,Comstock,MI
61107,Rockford,IL
58072,Valley City,ND
59333,Hathaway,MT
35283,Birmingham,AL
42163,Rocky Hill,KY
49157,Richland,MI
43735,East Fultonham,OH
44403,Brookfield,OH
50581,Rolfe,IA
33850,Lake Alfred,FL
35259,Birmingham,AL
35593,Vina,AL
40118,Fairdale,KY
40371,Salt Lick,KY
13479,Washington Mills,NY
15564,Wellersburg,PA
15944,New Florence,PA
17052,Mapleton Depot,PA
30747,Summerville,GA
31754,Georgetown,GA
32746,Lake Mary,FL
33801,Lakeland,FL
23178,Ware Neck,VA
10072,New York,NY
10166,New York,NY
10998,Westtown,NY
21623,Church Hill,MD
29336,Fairforest,SC
29348,Gramling,SC
11560,Locust Valley,NY
18355,Scotrun,PA
36538,Frankville,AL
37322,Decatur,TN
43081,Westerville,OH
27105,Winston Salem,NC
44398,Akron,OH
46731,Craigville,IN
33659,Palm River-Clair Mel,FL
02875,Shannock,RI
04630,East Machias,ME
06053,New Britain,CT
00714,Arroyo,PR
02126,Mattapan,MA
14150,Tonawanda,NY
30339,Atlanta,GA
32361,Wacissa,FL
32634,Fairfield,FL
33523,Dade City,FL
33706,Saint Petersburg,FL
24605,Bluefield,VA
25444,Slanesville,WV
26280,Mill Creek,WV
18465,Thompson,PA
12197,Worcester,NY
13147,Scipio Center,NY
28519,Bridgeton,NC
26561,Big Run,WV
82937,Lyman,WY
64070,Lone Jack,MO
64471,New Hampton,MO
75075,Plano,TX
68118,Omaha,NE
79080,Skellytown,TX
70059,Harvey,LA
90845,Long Beach,CA
92114,San Diego,CA
98144,Seattle,WA
98833,Mazama,WA
95692,Wheatland,CA
95826,Sacramento,CA
93458,Santa Maria,CA
61866,Rantoul,IL
77046,Houston,TX
77581,Pearland,TX
67149,Viola,KS
57231,De Smet,SD
74061,Ramona,OK
82412,Byron,WY
75712,Tyler,TX
75756,Brownsboro,TX
85225,Chandler,AZ
86508,Lupton,AZ
87579,Vadito,NM
93215,Delano,CA
94973,Woodacre,CA
98587,Taholah,WA
98639,North Bonneville,WA
04327,Richmond,ME
04747,Island Falls,ME
05452,Essex Junction,VT
06410,Cheshire,CT
02769,Rehoboth,MA
54875,Springbrook,WI
55018,Dennison,MN
37421,Chattanooga,TN
46904,Kokomo,IN
05155,South Londonderry,VT
06074,South Windsor,CT
15242,Pittsburgh,PA
17010,Campbelltown,PA
23101,Macon,VA
60697,Chicago,IL
23297,Richmond,VA
62464,Stoy,IL
58370,Saint Michael,ND
72536,Franklin,AR
73644,Elk City,OK
74330,Adair,OK
30354,Atlanta,GA
80454,Indian Hills,CO
37774,Loudon,TN
39731,Brooksville,MS
72314,Birdeye,AR
44022,Chagrin Falls,OH
72774,West Fork,AR
53803,Benton,WI
54565,Upson,WI
54757,New Auburn,WI
54936,Fond Du Lac,WI
55054,New Market,MN
62248,Hecker,IL
29260,Columbia,SC
42104,Bowling Green,KY
43115,Clarksburg,OH
44333,Akron,OH
34101,Naples,FL
39067,Ethel,MS
23025,Cardinal,VA
23228,Richmond,VA
23541,Norfolk,VA
28386,Shannon,NC
32971,Winter Beach,FL
73834,Buffalo,OK
75294,Dallas,TX
81422,Naturita,CO
82242,Van Tassell,WY
84133,Salt Lake City,UT
85262,Scottsdale,AZ
93308,Bakersfield,CA
93611,Clovis,CA
94131,San Francisco,CA
94249,Sacramento,CA
96062,Millville,CA
97378,Sheridan,OR
15555,Quecreek,PA
16662,Martinsburg,PA
16940,Nelson,PA
17212,Big Cove Tannery,PA
08835,Manville,NJ
12771,Port Jervis,NY
12810,Athol,NY
13350,Herkimer,NY
24513,Lynchburg,VA
22720,Goldvein,VA
13655,Hogansburg,NY
03266,Rumney,NH
76503,Temple,TX
77015,Houston,TX
77550,Galveston,TX
78041,Laredo,TX
80720,Akron,CO
83215,Atomic City,ID
83554,White Bird,ID
96720,Hilo,HI
97368,Otis,OR
97877,Sumpter,OR
98622,Heisson,WA
89009,Henderson,NV
89047,Silverpeak,NV
89412,Gerlach,NV
99124,Elmer City,WA
99554,Alakanuk,AK
28772,Rosman,NC
29708,Fort Mill,SC
31069,Perry,GA
36801,Opelika,AL
38124,Memphis,TN
47163,Otisco,IN
47488,Hamblen,IN
04033,Freeport,ME
23191,Zanoni,VA
23834,Colonial Heights,VA
23839,Dendron,VA
25140,Naoma,WV
18221,Drifton,PA
18825,Jackson,PA
19115,Philadelphia,PA
30663,Rutledge,GA
15612,Alverton,PA
06520,New Haven,CT
93110,Santa Barbara,CA
95005,Ben Lomond,CA
95337,Manteca,CA
98932,Granger,WA
87184,Albuquerque,NM
87537,Hernandez,NM
37048,Cottontown,TN
62549,Mt Zion,IL
63453,Luray,MO
63534,Callao,MO
63834,Charleston,MO
81658,Vail,CO
70718,Brittany,LA
71748,Ivan,AR
72118,North Little Rock,AR
78011,Charlotte,TX
83547,Pollock,ID
66075,Pleasanton,KS
54931,Dale,WI
48164,New Boston,MI
48444,Imlay City,MI
49245,Homer,MI
50001,Ackworth,IA
50128,Jamaica,IA
38824,Baldwyn,MS
39569,Pascagoula,MS
40078,Willisburg,KY
43430,Genoa,OH
44618,Dalton,OH
45418,Dayton,OH
45789,Wingett Run,OH
46507,Bristol,IN
36869,Phenix City,AL
37018,Beechgrove,TN
37041,Clarksville,TN
52809,Davenport,IA
39330,Enterprise,MS
61132,Loves Park,IL
62903,Carbondale,IL
72827,Bluffton,AR
74052,Oilton,OK
78701,Austin,TX
79541,Ovalo,TX
79560,Sylvester,TX
80230,Denver,CO
80836,Stratton,CO
81290,Florence,CO
74570,Stuart,OK
76067,Mineral Wells,TX
76476,Tolar,TX
76561,Oglesby,TX
64640,Gallatin,MO
19429,Conshohocken,PA
13788,Hobart,NY
14717,Caneadea,NY
25846,Glen Jean,WV
27103,Winston Salem,NC
30145,Kingston,GA
30671,Maxeys,GA
31719,Americus,GA
32724,Deland,FL
32757,Mount Dora,FL
36035,Goshen,AL
36776,Sawyerville,AL
38844,Gattman,MS
38954,Sidon,MS
45814,Arlington,OH
47369,Pennville,IN
53932,Fall River,WI
54022,River Falls,WI
47851,Fontanet,IN
50210,New Virginia,IA
52206,Atkins,IA
52760,Moscow,IA
41351,Mistletoe,KY
43014,Danville,OH
13459,Sharon Springs,NY
14642,Rochester,NY
15323,Claysville,PA
20711,Lothian,MD
21105,Maryland Line,MD
08629,Trenton,NJ
10986,Tomkins Cove,NY
29730,Rock Hill,SC
11763,Medford,NY
12139,Piseco,NY
12509,La Grange,NY
17560,New Providence,PA
17839,Light Street,PA
18045,Easton,PA
76066,Millsap,TX
81062,Olney Springs,CO
85670,Fort Huachuca,AZ
13503,Utica,NY
16020,Boyers,PA
02815,Clayville,RI
04461,Milford,ME
04546,Georgetown,ME
07032,Kearny,NJ
20690,Tall Timbers,MD
22454,Dunnsville,VA
75459,Howe,TX
75904,Lufkin,TX
77289,Houston,TX
84719,Brian Head,UT
91077,Arcadia,CA
92840,Garden Grove,CA
24639,Raven,VA
25053,Danville,WV
13135,Phoenix,NY
00659,Hatillo,PR
01094,Wheelwright,MA
02361,Plymouth,MA
26425,Rowlesburg,WV
41660,Teaberry,KY
43623,Toledo,OH
68041,Mead,NE
68783,Verdigre,NE
58418,Bowdon,ND
62069,Mount Olive,IL
37618,Bluff City,TN
98665,Vancouver,WA
97002,Aurora,OR
97233,Portland,OR
71242,Forest,LA
76857,May,TX
76878,Santa Anna,TX
77478,Sugar Land,TX
77834,Brenham,TX
92583,San Jacinto,CA
80940,Colorado Springs,CO
74956,Shady Point,OK
84073,Talmage,UT
84316,Howell,UT
86054,Shonto,AZ
65707,Miller,MO
87028,La Joya,NM
89510,Reno,NV
73647,Foss,OK
46360,Michigan City,IN
46614,South Bend,IN
40813,Calvin,KY
38860,Okolona,MS
62856,Logan,IL
62957,McClure,IL
64436,Cosby,MO
56127,Dunnell,MN
58017,Cogswell,ND
52171,Waucoma,IA
49221,Adrian,MI
49336,Morley,MI
50525,Clarion,IA
02840,Newport,RI
04495,Winn,ME
14301,Niagara Falls,NY
15480,Smock,PA
16121,Farrell,PA
23487,Windsor,VA
25040,Charlton Heights,WV
19951,Harbeson,DE
20277,Washington,DC
22334,Alexandria,VA
22606,Newport News,VA
27230,Cedar Falls,NC
27233,Climax,NC
13082,Kirkville,NY
76683,Riesel,TX
76841,Fort McKavett,TX
78827,Asherton,TX
51451,Lanesboro,IA
55408,Minneapolis,MN
59212,Bainville,MT
59902,Kalispell,MT
60465,Palos Hills,IL
65775,West Plains,MO
70065,Kenner,LA
70185,New Orleans,LA
71751,Louann,AR
72068,Higginson,AR
57443,Cambria,SD
63859,Independence,MO
73773,Waukomis,OK
75105,Chatfield,TX
75615,Longview,TX
31744,Doerun,GA
32229,Jacksonville,FL
32571,Milton,FL
32706,Cassadaga,FL
21713,Boonsboro,MD
16341,Pleasantville,PA
22640,Huntly,VA
49080,Plainwell,MI
84038,Laketown,UT
86413,Golden Valley,AZ
74465,Tahlequah,OK
74345,Grove,OK
37743,Greeneville,TN
80946,Colorado Springs,CO
38468,Leoma,TN
91115,Pasadena,CA
39566,Ocean Springs,MS
98666,Vancouver,WA
43986,Jewett,OH
72338,Frenchmans Bayou,AR
44102,Cleveland,OH
94089,Sunnyvale,CA
45684,Stout,OH
65069,Rhineland,MO
29340,Gaffney,SC
65444,Bucyrus,MO
29494,Hollywood,SC
67052,Goddard,KS
29645,Gray Court,SC
68180,Omaha,NE
68902,Hastings,NE
56083,Sanborn,MN
30364,Atlanta,GA
72369,Oneida,AR
10506,Bedford,NY
71068,Ringgold,LA
40014,Crestwood,KY
40930,Dewitt,KY
13312,Brantingham,NY
12789,Woodridge,NY
14472,Honeoye Falls,NY
44878,Shiloh,OH
95134,San Jose,CA
35288,Birmingham,AL
55953,Lyle,MN
29014,Blackstock,SC
50028,Baxter,IA
08051,Mantua,NJ
74145,Tulsa,OK
38825,Becker,MS
47882,Sullivan,IN
39366,Vossburg,MS
49023,Benton Harbor,MI
49267,Ottawa Lake,MI
11783,Seaford,NY
12245,Albany,NY
12861,Putnam Station,NY
69135,Elsmere,NE
06513,New Haven,CT
07030,Hoboken,NJ
71428,Flora,LA
62083,Rosamond,IL
62421,Claremont,IL
64441,Denver,MO
78237,San Antonio,TX
58705,Minot AFB,ND
60069,Lincolnshire,IL
60667,Chicago,IL
65446,Cherryville,MO
92320,Calimesa,CA
92410,San Bernardino,CA
98326,Clallam Bay,WA
03443,Chesterfield,NH
04567,Small Point,ME
05752,Poultney,VT
05753,Middlebury,VT
06382,Uncasville,CT
01752,Marlborough,MA
30552,Lakemont,GA
31758,Thomasville,GA
32831,Orlando,FL
33009,Hallandale,FL
13860,West Davenport,NY
14612,Rochester,NY
22748,Wolftown,VA
17861,Paxtonville,PA
18630,Meshoppen,PA
18653,Ransom,PA
00718,Naguabo,PR
13840,Smithboro,NY
05085,West Newbury,VT
95373,Standard,CA
98387,Spanaway,WA
90842,Long Beach,CA
92158,San Diego,CA
93207,California Hot Springs,CA
96094,Weed,CA
73141,Oklahoma City,OK
74438,Hitchita,OK
67481,Sylvan Grove,KS
67575,Rush Center,KS
64076,Odessa,MO
64483,Rosendale,MO
64498,Westboro,MO
65409,Rolla,MO
85327,Cave Creek,AZ
85543,Pima,AZ
60694,Chicago,IL
60935,Essex,IL
78146,Pettus,TX
80266,Denver,CO
80329,Boulder,CO
70001,Metairie,LA
70499,Franklinton,LA
50116,Hamilton,IA
50522,Burt,IA
48277,Detroit,MI
49248,Jasper,MI
26369,Hepzibah,WV
26810,Lost City,WV
28112,Monroe,NC
43116,Commercial Point,OH
21250,Baltimore,MD
04681,Stonington,ME
05401,Burlington,VT
14754,Little Genesee,NY
77481,Thompsons,TX
77976,Nursery,TX
78545,Falcon Heights,TX
79915,El Paso,TX
79935,El Paso,TX
58741,Granville,ND
85074,Phoenix,AZ
85258,Scottsdale,AZ
74331,Afton,OK
75929,Broaddus,TX
73170,Oklahoma City,OK
80640,Henderson,CO
82636,Evansville,WY
14901,Elmira,NY
16503,Erie,PA
17080,Pillow,PA
32626,Chiefland,FL
23398,Jamesville,VA
23941,Fort Mitchell,VA
21669,Taylors Island,MD
17951,Mar Lin,PA
19401,Norristown,PA
30111,Clarkdale,GA
12305,Schenectady,NY
26444,Tunnelton,WV
28018,Bostic,NC
28109,Misenheimer,NC
52235,Hills,IA
52732,Clinton,IA
55592,Maple Plain,MN
12402,Kingston,NY
13843,South New Berlin,NY
24504,Lynchburg,VA
25148,Orgas,WV
19192,Philadelphia,PA
19367,Pomeroy,PA
75939,Corrigan,TX
77592,Texas City,TX
84657,Sigurd,UT
65660,Graff,MO
67140,South Haven,KS
68824,Cairo,NE
87037,Nageezi,NM
87581,Vallecitos,NM
89043,Pioche,NV
78211,San Antonio,TX
78555,McAllen,TX
79535,Maryneal,TX
79852,Terlingua,TX
72121,Pangburn,AR
73113,Oklahoma City,OK
74399,Commerce,OK
06460,Milford,CT
07939,Lyons,NJ
08075,Riverside,NJ
10607,White Plains,NY
00924,San Juan,PR
02139,Cambridge,MA
02305,Brockton,MA
02407,Scituate,MA
65571,Summersville,MO
66223,Shawnee Mission,KS
53167,Rochester,WI
37659,Jonesborough,TN
29599,Socastee,SC
13664,Morristown,NY
15341,Holbrook,PA
20026,Washington,DC
22959,North Garden,VA
41037,Elizaville,KY
43343,Quincy,OH
43925,East Springfield,OH
44514,Youngstown,OH
45412,Dayton,OH
97640,Summer Lake,OR
98564,Mossyrock,WA
99128,Farmington,ID
99336,Kennewick,WA
56477,Sebeka,MN
57251,Marvin,SD
57273,Waubay,SD
61453,Little York,IL
62837,Fairfield,IL
63740,Chaffee,MO
63860,Kewanee,MO
44233,Hinckley,OH
44425,Hubbard,OH
46227,Indianapolis,IN
49653,Lake Leelanau,MI
41503,South Williamson,KY
36032,Fort Deposit,AL
39272,Jackson,MS
96849,Honolulu,HI
98046,Lynnwood,WA
98648,Stevenson,WA
99767,Rampart,AK
05060,Randolph,VT
05481,Saint Albans Bay,VT
01938,Ipswich,MA
29419,Charleston,SC
31071,Pineview,GA
47974,Perrysville,IN
38827,Belmont,MS
39735,Ackerman,MS
21904,Port Deposit,MD
22649,Middletown,VA
23177,Walkerton,VA
29066,Batesburg-Leesville,SC
30567,Pendergrass,GA
35214,Birmingham,AL
37010,Adams,TN
37059,Dowelltown,TN
37086,La Vergne,TN
37171,Southside,TN
37682,Milligan College,TN
38347,Jacks Creek,TN
18625,Lake Winola,PA
19155,Philadelphia,PA
20706,Lanham,MD
21210,Baltimore,MD
23140,Providence Forge,VA
24899,Yukon,WV
43150,Rushville,OH
33499,Boca Raton,FL
27311,Pelham,NC
27862,Pendleton,NC
38567,Hickman,TN
38758,Mattson,MS
50368,Des Moines,IA
50559,Lone Rock,IA
50670,Shell Rock,IA
52237,Hopkinton,IA
59501,Havre,MT
67033,Richland,KS
68278,Omaha,NE
63821,Arbyrd,MO
63955,Oxly,MO
55430,Minneapolis,MN
60684,Chicago,IL
60931,Donovan,IL
61553,Norris,IL
62272,Percy,IL
62346,La Prairie,IL
55045,Lindstrom,MN
73402,Ardmore,OK
73447,Mannsville,OK
75607,Longview,TX
32658,La Crosse,FL
15442,Grindstone,PA
07666,Teaneck,NJ
00938,San Juan,PR
30370,Atlanta,GA
30919,Augusta,GA
33915,Cape Coral,FL
33956,Saint James City,FL
35490,Vance,AL
35771,Section,AL
96715,Hanamaulu,HI
98581,Ryderwood,WA
56277,Olivia,MN
57569,Reliance,SD
57790,Wall,SD
58319,Bremen,ND
58355,Nekoma,ND
59313,Baker,MT
60408,Braidwood,IL
78705,Austin,TX
93772,Fresno,CA
95064,Santa Cruz,CA
87736,Rainsville,NM
88047,Mesilla Park,NM
89146,Las Vegas,NV
90220,Compton,CA
64657,McFall,MO
61546,Manito,IL
61632,Peoria,IL
61870,Ridge Farm,IL
58442,Gackle,ND
58731,Deering,ND
54201,Algoma,WI
57118,Sioux Falls,SD
62513,Blue Mound,IL
49871,Palmer,MI
63530,Atlanta,MO
63367,Lake Saint Louis,MO
55168,Saint Paul,MN
78522,Brownsville,TX
61450,La Harpe,IL
62324,Clayton,IL
77072,Houston,TX
83676,Wilder,ID
77905,Victoria,TX
85227,Chandler Heights,AZ
85736,Tucson,AZ
78338,Armstrong,TX
79410,Lubbock,TX
79529,Knox City,TX
79561,Trent,TX
80538,Loveland,CO
97031,Hood River,OR
97223,Portland,OR
88135,Texico,NM
95358,Modesto,CA
92553,Moreno Valley,CA
76933,Bronte,TX
77631,Orange,TX
30450,Portal,GA
34974,Okeechobee,FL
35287,Birmingham,AL
35739,Ardmore,AL
37063,Fosterville,TN
38136,Memphis,TN
38315,Bethel Springs,TN
41000,Fort Mitchell,KY
41018,Erlanger,KY
14482,Le Roy,NY
62871,Omaha,IL
63057,Liguori,MO
71023,Doyline,LA
57574,Tuthill,SD
48768,Vassar,MI
14214,Buffalo,NY
15236,Pittsburgh,PA
15311,Amity,PA
17870,Selinsgrove,PA
18105,Allentown,PA
19901,Dover,DE
17253,Saltillo,PA
08091,West Berlin,NJ
08840,Metuchen,NJ
10268,New York,NY
10917,Central Valley,NY
00667,Lajas,PR
01007,Belchertown,MA
29038,Cope,SC
29934,Pineland,SC
30014,Covington,GA
12784,Thompsonville,NY
13104,Manlius,NY
13208,Syracuse,NY
28037,Denver,NC
08889,Whitehouse Station,NJ
10547,Mohegan Lake,NY
46953,Marion,IN
47375,Richmond,IN
41164,Olive Hill,KY
41558,Ransom,KY
53065,Oakfield,WI
55985,West Concord,MN
56052,Kilkenny,MN
45617,Bourneville,OH
36024,Eclectic,AL
39320,Bailey,MS
45410,Dayton,OH
20439,Washington,DC
03592,Pittsburg,NH
04288,West Minot,ME
06250,Mansfield Center,CT
17257,Shippensburg,PA
11937,East Hampton,NY
12527,Glenham,NY
13658,Lisbon,NY
84072,Tabiona,UT
91302,Calabasas,CA
92220,Banning,CA
85061,Phoenix,AZ
85545,Roosevelt,AZ
97876,Summerville,OR
98560,Matlock,WA
95637,Guinda,CA
95977,Smartville,CA
96121,Milford,CA
96797,Waipahu,HI
78940,Fayetteville,TX
79761,Odessa,TX
79961,El Paso,TX
51647,Northboro,IA
54741,Fairchild,WI
55306,Burnsville,MN
55341,Hanover,MN
55470,Minneapolis,MN
67132,Rosalia,KS
63111,Saint Louis,MO
63666,Reynolds,MO
48109,Ann Arbor,MI
50117,Hamlin,IA
50332,Des Moines,IA
51050,Remsen,IA
34260,Manasota,FL
39476,Richton,MS
04988,Unity,ME
06836,Greenwich,CT
06907,Stamford,CT
90065,Los Angeles,CA
98133,Seattle,WA
82635,Edgerton,WY
85230,Casa Grande,AZ
85261,Scottsdale,AZ
75980,Zavalla,TX
76040,Euless,TX
76048,Granbury,TX
76642,Groesbeck,TX
76854,London,TX
93303,Bakersfield,CA
93915,Salinas,CA
93925,Chualar,CA
79980,El Paso,TX
90502,Torrance,CA
92022,El Cajon,CA
71461,Newllano,LA
13688,South Rutland,NY
14138,South Dayton,NY
08071,Pitman,NJ
08862,Perth Amboy,NJ
02146,Brookline,MA
02344,Middleboro,MA
02805,Foster,RI
02829,Harmony,RI
05233,Sudbury,VT
05760,Orwell,VT
06101,Hartford,CT
07735,Keyport,NJ
16827,Boalsburg,PA
17035,Honey Grove,PA
99624,Larsen Bay,AK
44643,Magnolia,OH
26525,Bruceton Mills,WV
27808,Bath,NC
33082,Pembroke Pines,FL
16037,Harmony,PA
17834,Kulpmont,PA
06468,Monroe,CT
07763,Tennent,NJ
08827,Hampton,NJ
12233,Albany,NY
12515,Clintondale,NY
22406,Fredericksburg,VA
03826,East Hampstead,NH
04554,New Harbor,ME
13638,Felts Mills,NY
14054,East Bethany,NY
